"","spp","bbTemp","Measurement","ElyResponse"
"1","Aaureu","293bb","AUCTr",0.0091809820045553
"2","Alaetu","293bb","AUCTr",0.00629434750128155
"3","Aopali","293bb","AUCTr",0.008644498614225
"4","Aparvu","293bb","AUCTr",0.0095813444999937
"5","Coctos","293bb","AUCTr",0.0197229710154913
"6","Crayne","293bb","AUCTr",0.00628230927214701
"7","Csexpl","293bb","AUCTr",0.0105619026161453
"8","Elampr","293bb","AUCTr",0.0443031206255802
"9","Tbonvo","293bb","AUCTr",0.0103139478563242
"10","Tbruck","293bb","AUCTr",0.0141811545859383
"11","Aaureu","300bb","AUCTr",0.00963711796839406
"12","Alaetu","300bb","AUCTr",0.00656202894730984
"13","Aopali","300bb","AUCTr",0.00904495939332051
"14","Aparvu","300bb","AUCTr",0.00998811013158174
"15","Coctos","300bb","AUCTr",0.0204841556058746
"16","Crayne","300bb","AUCTr",0.00660791295049989
"17","Csexpl","300bb","AUCTr",0.0109611587823674
"18","Elampr","300bb","AUCTr",0.045002583056031
"19","Tbonvo","300bb","AUCTr",0.0109718608512135
"20","Tbruck","300bb","AUCTr",0.0148380208402715
"21","Aaureu","321bb","AUCTr",0.0111893691446726
"22","Alaetu","321bb","AUCTr",0.00748383681860632
"23","Aopali","321bb","AUCTr",0.0104067670192005
"24","Aparvu","321bb","AUCTr",0.0113656400218581
"25","Coctos","321bb","AUCTr",0.0230788088865039
"26","Crayne","321bb","AUCTr",0.00771090093010274
"27","Csexpl","321bb","AUCTr",0.0123228342611722
"28","Elampr","321bb","AUCTr",0.0474064458965151
"29","Tbonvo","321bb","AUCTr",0.0132111977502055
"30","Tbruck","321bb","AUCTr",0.017102344193458
"31","Aaureu","333bb","AUCTr",0.0394093065751074
"32","Alaetu","333bb","AUCTr",0.024681167248067
"33","Aopali","333bb","AUCTr",0.0354762806081936
"34","Aparvu","333bb","AUCTr",0.0361849983085563
"35","Coctos","333bb","AUCTr",0.0728121628254695
"36","Crayne","333bb","AUCTr",0.0276142981565872
"37","Csexpl","333bb","AUCTr",0.0385076842283588
"38","Elampr","333bb","AUCTr",0.0970018117068426
"39","Tbonvo","333bb","AUCTr",0.0549038449249412
"40","Tbruck","333bb","AUCTr",0.0615588151631339
"41","Aaureu","343bb","AUCTr",0.0402033618760809
"42","Alaetu","343bb","AUCTr",0.0251657288348812
"43","Aopali","343bb","AUCTr",0.036193452218249
"44","Aparvu","343bb","AUCTr",0.0368828345601421
"45","Coctos","343bb","AUCTr",0.0742866682480006
"46","Crayne","343bb","AUCTr",0.0281798326317872
"47","Csexpl","343bb","AUCTr",0.0392872711555109
"48","Elampr","343bb","AUCTr",0.0985194700914055
"49","Tbonvo","343bb","AUCTr",0.0561176829175305
"50","Tbruck","343bb","AUCTr",0.0628863404337949
"51","Aaureu","293bb","AUCRf",0.0793552856697055
"52","Alaetu","293bb","AUCRf",0.0950029127177819
"53","Aopali","293bb","AUCRf",0.0948768095739539
"54","Aparvu","293bb","AUCRf",0.0957920431794923
"55","Coctos","293bb","AUCRf",0.0982534419696459
"56","Crayne","293bb","AUCRf",0.0987722200705332
"57","Csexpl","293bb","AUCRf",0.0866804063206917
"58","Elampr","293bb","AUCRf",0.106113292170698
"59","Tbonvo","293bb","AUCRf",0.0848241891882134
"60","Tbruck","293bb","AUCRf",0.0869293039070378
"61","Aaureu","300bb","AUCRf",0.0795137740490148
"62","Alaetu","300bb","AUCRf",0.0951177162597358
"63","Aopali","300bb","AUCRf",0.0950366993982937
"64","Aparvu","300bb","AUCRf",0.0957966577775284
"65","Coctos","300bb","AUCRf",0.0982922708788982
"66","Crayne","300bb","AUCRf",0.098885880657509
"67","Csexpl","300bb","AUCRf",0.0867417112495378
"68","Elampr","300bb","AUCRf",0.10632131367038
"69","Tbonvo","300bb","AUCRf",0.0849276783199282
"70","Tbruck","300bb","AUCRf",0.087050280401844
"71","Aaureu","321bb","AUCRf",0.0800038783491167
"72","Alaetu","321bb","AUCRf",0.0954740776768926
"73","Aopali","321bb","AUCRf",0.095532925161757
"74","Aparvu","321bb","AUCRf",0.0958470428703483
"75","Coctos","321bb","AUCRf",0.0984573720278707
"76","Crayne","321bb","AUCRf",0.0992544760526984
"77","Csexpl","321bb","AUCRf",0.0869770910313713
"78","Elampr","321bb","AUCRf",0.106976731226445
"79","Tbonvo","321bb","AUCRf",0.0852569696186003
"80","Tbruck","321bb","AUCRf",0.0874461241670466
"81","Aaureu","333bb","AUCRf",0.0862034352879446
"82","Alaetu","333bb","AUCRf",0.100060206314977
"83","Aopali","333bb","AUCRf",0.102027178438211
"84","Aparvu","333bb","AUCRf",0.0985901977324404
"85","Coctos","333bb","AUCRf",0.103904067584028
"86","Crayne","333bb","AUCRf",0.104994304903993
"87","Csexpl","333bb","AUCRf",0.09308360661035
"88","Elampr","333bb","AUCRf",0.116038907339415
"89","Tbonvo","333bb","AUCRf",0.0898300580433345
"90","Tbruck","333bb","AUCRf",0.093776188344054
"91","Aaureu","343bb","AUCRf",0.0863682767818081
"92","Alaetu","343bb","AUCRf",0.100185250544729
"93","Aopali","343bb","AUCRf",0.102203467821771
"94","Aparvu","343bb","AUCRf",0.0986879411429336
"95","Coctos","343bb","AUCRf",0.104092132667321
"96","Crayne","343bb","AUCRf",0.105156749171984
"97","Csexpl","343bb","AUCRf",0.0932818065882537
"98","Elampr","343bb","AUCRf",0.116284173837064
"99","Tbonvo","343bb","AUCRf",0.0899538454865232
"100","Tbruck","343bb","AUCRf",0.0939584008273899
"101","Aaureu","293bb","Emiss",0.911463732325739
"102","Alaetu","293bb","Emiss",0.898702739780937
"103","Aopali","293bb","Emiss",0.896478691811821
"104","Aparvu","293bb","Emiss",0.894626612320514
"105","Coctos","293bb","Emiss",0.882023587014863
"106","Crayne","293bb","Emiss",0.89494547065732
"107","Csexpl","293bb","Emiss",0.902757691063163
"108","Elampr","293bb","Emiss",0.849583587203722
"109","Tbonvo","293bb","Emiss",0.904861862955462
"110","Tbruck","293bb","Emiss",0.898889541507024
"111","Aaureu","300bb","Emiss",0.910849107982591
"112","Alaetu","300bb","Emiss",0.898320254792954
"113","Aopali","300bb","Emiss",0.895918341208386
"114","Aparvu","300bb","Emiss",0.89421523209089
"115","Coctos","300bb","Emiss",0.881223573515227
"116","Crayne","300bb","Emiss",0.894506206391991
"117","Csexpl","300bb","Emiss",0.902297129968095
"118","Elampr","300bb","Emiss",0.848676103273589
"119","Tbonvo","300bb","Emiss",0.904100460828858
"120","Tbruck","300bb","Emiss",0.898111698757884
"121","Aaureu","321bb","Emiss",0.908806752506211
"122","Alaetu","321bb","Emiss",0.897042085504501
"123","Aopali","321bb","Emiss",0.894060307819042
"124","Aparvu","321bb","Emiss",0.892787317107794
"125","Coctos","321bb","Emiss",0.878463819085625
"126","Crayne","321bb","Emiss",0.893034623017199
"127","Csexpl","321bb","Emiss",0.900700074707456
"128","Elampr","321bb","Emiss",0.84561682287704
"129","Tbonvo","321bb","Emiss",0.901531832631194
"130","Tbruck","321bb","Emiss",0.895451531639495
"131","Aaureu","333bb","Emiss",0.874387258136948
"132","Alaetu","333bb","Emiss",0.875258626436956
"133","Aopali","333bb","Emiss",0.862496540953595
"134","Aparvu","333bb","Emiss",0.865224803959003
"135","Coctos","333bb","Emiss",0.823283769590502
"136","Crayne","333bb","Emiss",0.867391396939419
"137","Csexpl","333bb","Emiss",0.868408709161291
"138","Elampr","333bb","Emiss",0.786959280953742
"139","Tbonvo","333bb","Emiss",0.855266097031724
"140","Tbruck","333bb","Emiss",0.844664996492812
"141","Aaureu","343bb","Emiss",0.873428361342111
"142","Alaetu","343bb","Emiss",0.87464902062039
"143","Aopali","343bb","Emiss",0.86160307995998
"144","Aparvu","343bb","Emiss",0.864429224296924
"145","Coctos","343bb","Emiss",0.821621199084678
"146","Crayne","343bb","Emiss",0.866663418196229
"147","Csexpl","343bb","Emiss",0.867430922256235
"148","Elampr","343bb","Emiss",0.78519635607153
"149","Tbonvo","343bb","Emiss",0.853928471595946
"150","Tbruck","343bb","Emiss",0.843155258738815
